Browser,Browser Version,Operating System,Sessions
Chrome,40.0.2214.111,Macintosh,"2,533"
Safari,8.0,iOS,437
Internet Explorer,11.0,Windows,389
Chrome,36.0.1985.143,Windows,347
Internet Explorer,9.0,Windows,297
Safari,7.0,iOS,225
Chrome,42.0.2311.135,Windows,186
Internet Explorer,8.0,Windows,171
(not set),(not set),(not set),118
Internet Explorer,10.0,Windows,111
Chrome,39.0.2171.95,Windows,91
Firefox,33.0,Linux,91
Chrome,38.0.2125.111,Windows,89
Chrome,37.0.2062.124,Windows,78
Android Browser,4.0,Android,67
Chrome,43.0.2357.81,Windows,63
Chrome,35.0.1916.153,Windows,61
Chrome,42.0.2311.90,Windows,61
Chrome,45.0.2454.85,Windows,54
Chrome,39.0.2171.71,Windows,53
Chrome,32.0.1700.107,Windows,51
Chrome,41.0.2272.118,Windows,47
Chrome,44.0.2403.157,Windows,45
Firefox,38.0,Windows,45
Chrome,43.0.2357.130,Windows,41
